,1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fence,Fireplace Qu,Fireplaces,Foundation,Full Bath,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,Id,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Misc Feature,Misc Val,Mo Sold,Open Porch SF,Overall Cond,Overall Qual,PID,Paved Drive,Pool Area,Pool QC,Roof Matl,Roof Style,SalePrice,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,Bsmt Cond Num,Bsmt Qual Num,Garage Cond Num,Garage Qual Num,Exter Cond Num,Exter Qual Num,Heating QC Num,Kitchen Qual Num,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD ,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sal,Functional_Sev,Functional_Typ
288,891,795,0,NA,3,1Fam,TA,No,0.0,0.0,Gd,891.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,462.0,2.0,TA,Fin,TA,Attchd,2005.0,1686,1,GasA,Ex,2476,1,Gd,Lvl,Gtl,7800,Inside,65.0,Reg,0,60,RL,172.0,BrkFace,NA,0,4,101,5,7,531376030,Y,0,NA,CompShg,Gable,184000,0,Pave,8,891.0,AllPub,144,2005,2005,2006,3,4,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
289,1344,0,0,NA,2,Duplex,Gd,Gd,2.0,0.0,Gd,35.0,1309.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,NA,NA,0,PConc,2,784.0,4.0,TA,Fin,TA,Attchd,1997.0,1344,0,GasA,Ex,1590,2,TA,Lvl,Gtl,7060,Inside,78.0,Reg,0,90,RM,200.0,BrkFace,NA,0,11,0,5,7,923202015,Y,0,NA,CompShg,Gable,206300,0,Pave,8,1344.0,AllPub,0,1997,1998,2008,4,4,3,3,4,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
290,1652,0,0,NA,4,Duplex,TA,No,0.0,0.0,TA,1503.0,149.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,NA,0,CBlock,2,928.0,3.0,TA,Unf,TA,2Types,1970.0,1652,0,GasA,TA,2913,2,TA,Lvl,Gtl,11836,Corner,68.87899941826643,IR1,0,90,RL,0.0,None,NA,0,3,0,5,5,923226150,Y,0,NA,CompShg,Gable,146500,0,Pave,8,1652.0,AllPub,0,1970,1970,2006,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
291,832,505,0,NA,3,1Fam,TA,No,0.0,0.0,TA,832.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,FuseA,0,TA,TA,MetalSd,MetalSd,NA,NA,0,CBlock,1,263.0,1.0,TA,Unf,TA,Attchd,1956.0,1337,0,GasA,TA,149,1,TA,Lvl,Gtl,8382,Inside,60.0,Reg,0,50,RL,0.0,None,NA,0,2,0,5,4,535180130,Y,0,NA,CompShg,Gable,108000,0,Pave,5,832.0,AllPub,0,1956,1956,2010,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
292,1222,698,0,NA,4,1Fam,TA,No,0.0,0.0,TA,570.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,GdPrv,TA,1,CBlock,3,487.0,2.0,TA,RFn,TA,Attchd,1968.0,1920,0,GasA,Gd,2525,1,Gd,Lvl,Gtl,10192,Inside,102.0,IR1,0,80,RL,143.0,BrkFace,NA,0,9,98,6,7,534126060,Y,0,NA,CompShg,Gable,170000,0,Pave,8,570.0,AllPub,0,1968,1992,2006,3,3,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
293,848,0,0,NA,1,TwnhsE,TA,Mn,1.0,0.0,Gd,186.0,662.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,1,420.0,2.0,TA,RFn,TA,Attchd,2004.0,848,0,GasA,Ex,1470,1,Gd,Lvl,Gtl,4426,Inside,68.87899941826643,Reg,0,120,RM,205.0,BrkFace,NA,0,2,0,5,6,907290250,Y,0,NA,CompShg,Gable,145000,0,Pave,3,848.0,AllPub,140,2004,2004,2008,3,4,3,3,3,4,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
294,1055,0,0,NA,2,Twnhs,TA,No,0.0,1.0,Gd,0.0,435.0,622.0,ALQ,LwQ,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Brk Cmn,NA,Fa,1,CBlock,2,440.0,2.0,TA,RFn,TA,Attchd,1975.0,1055,0,GasA,TA,412,1,TA,Lvl,Gtl,2280,FR2,24.0,Reg,0,120,RL,0.0,None,NA,0,8,27,5,7,527453140,Y,0,NA,CompShg,Gable,123000,0,Pave,4,1057.0,AllPub,0,1975,1975,2009,3,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
295,1291,0,0,NA,2,1Fam,TA,Mn,1.0,0.0,Gd,288.0,1003.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,Gd,1,PConc,1,431.0,2.0,TA,Unf,TA,Attchd,1996.0,1291,0,GasA,Ex,1399,1,Gd,HLS,Gtl,2887,Inside,68.87899941826643,Reg,0,120,RL,0.0,None,NA,0,11,0,5,6,905351089,Y,0,NA,CompShg,Gable,173000,0,Pave,6,1291.0,AllPub,307,1996,1997,2008,3,4,3,3,3,3,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
296,720,0,0,NA,2,1Fam,TA,No,0.0,0.0,TA,624.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,VinylSd,VinylSd,NA,NA,0,BrkTil,1,484.0,2.0,TA,Unf,TA,Detchd,2005.0,720,0,GasA,Gd,183,1,TA,Lvl,Gtl,8520,Inside,60.0,Reg,0,30,RM,0.0,None,NA,0,5,0,8,6,902207140,Y,0,NA,CompShg,Gable,105900,0,Pave,5,624.0,AllPub,106,1928,2003,2010,3,3,3,3,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
297,526,462,0,NA,2,Twnhs,TA,Gd,1.0,0.0,Gd,0.0,462.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,GdWo,NA,0,CBlock,1,297.0,1.0,TA,Unf,TA,BuiltIn,1973.0,988,0,GasA,TA,974,1,TA,Lvl,Gtl,1596,Inside,21.0,Reg,0,180,RM,0.0,None,NA,0,11,101,5,4,923225360,Y,0,NA,CompShg,Gable,91000,0,Pave,5,462.0,AllPub,120,1973,1973,2009,3,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
298,986,537,0,NA,3,1Fam,TA,No,1.0,0.0,TA,248.0,312.0,507.0,BLQ,Rec,N,Norm,Norm,SBrkr,81,TA,TA,BrkComm,Brk Cmn,NA,TA,1,BrkTil,2,295.0,1.0,TA,Unf,TA,Attchd,1949.0,1523,0,GasW,Fa,930,1,Fa,Bnk,Gtl,15600,Inside,78.0,Reg,0,50,RL,0.0,None,NA,0,10,0,7,5,909426090,Y,0,NA,CompShg,Gable,158000,0,Pave,7,1067.0,AllPub,0,1949,2005,2009,3,3,3,3,3,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
299,864,864,0,NA,3,1Fam,TA,No,0.0,0.0,Gd,864.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,572.0,2.0,TA,RFn,TA,Attchd,2004.0,1728,1,GasA,Ex,881,1,Gd,Lvl,Gtl,9313,Inside,65.0,IR1,0,60,RL,0.0,None,NA,0,4,56,5,7,907412020,Y,0,NA,CompShg,Gable,190000,0,Pave,7,864.0,AllPub,187,2004,2004,2009,3,4,3,3,3,4,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
300,1239,0,0,NA,1,TwnhsE,TA,Gd,1.0,0.0,Gd,0.0,560.0,670.0,LwQ,GLQ,Y,Norm,Norm,SBrkr,0,TA,Gd,BrkFace,BrkFace,NA,Fa,1,PConc,1,477.0,2.0,TA,Fin,TA,Attchd,1995.0,1239,1,GasA,Ex,1180,1,Gd,Lvl,Gtl,11064,CulDSac,22.0,IR2,0,120,RL,0.0,None,NA,0,8,24,5,8,533250110,Y,0,NA,CompShg,Hip,217500,0,Pave,4,1230.0,AllPub,172,1995,1995,2008,3,4,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
301,1151,804,0,NA,4,1Fam,TA,No,0.0,0.0,TA,821.0,330.0,0.0,ALQ,Unf,Y,Norm,Norm,FuseA,0,TA,TA,WdShing,Wd Shng,NA,NA,0,CBlock,2,356.0,1.0,TA,Fin,TA,Attchd,1958.0,1955,0,GasA,Gd,1553,1,TA,Lvl,Gtl,9000,Inside,75.0,Reg,0,50,RM,162.0,BrkFace,NA,0,1,0,5,5,910226040,Y,0,NA,CompShg,Gable,165500,0,Pave,7,1151.0,AllPub,0,1958,1958,2008,3,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
302,860,704,0,NA,3,1Fam,TA,No,0.0,0.0,TA,429.0,275.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,NA,Gd,1,CBlock,1,234.0,1.0,TA,Unf,TA,Attchd,1941.0,1564,1,GasA,Ex,928,1,Fa,Bnk,Gtl,12000,Inside,75.0,Reg,0,70,RL,0.0,None,NA,0,7,0,7,7,909425060,Y,0,NA,CompShg,Gable,174500,0,Pave,7,704.0,AllPub,0,1941,1950,2009,3,3,3,3,3,3,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
303,1204,0,0,NA,3,1Fam,TA,Av,0.0,0.0,Ex,416.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,FuseA,0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,CBlock,1,312.0,1.0,TA,Unf,TA,Basment,1954.0,1204,0,GasA,Gd,1512,1,TA,Bnk,Mod,7692,Inside,62.0,Reg,0,80,RL,0.0,None,NA,0,11,0,6,4,908276140,Y,0,NA,CompShg,Gable,100000,0,Pave,6,416.0,AllPub,0,1954,1954,2008,3,5,3,3,3,3,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
304,1329,0,0,NA,3,1Fam,TA,No,0.0,0.0,TA,406.0,923.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,Wd Sdng,Wd Sdng,NA,NA,0,CBlock,1,312.0,1.0,TA,Unf,TA,Attchd,1958.0,1329,1,GasA,TA,3,1,Gd,Lvl,Gtl,14267,Corner,81.0,IR1,0,20,RL,108.0,BrkFace,Gar2,12500,6,36,6,6,526351010,Y,0,NA,CompShg,Hip,172000,0,Pave,6,1329.0,AllPub,393,1958,1958,2010,3,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
305,879,0,0,NA,3,1Fam,TA,No,0.0,0.0,TA,102.0,330.0,432.0,BLQ,Rec,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,NA,NA,0,CBlock,1,440.0,2.0,TA,Unf,TA,Attchd,1975.0,879,0,GasA,TA,2140,1,TA,Lvl,Gtl,9675,Corner,75.0,Reg,0,20,RL,0.0,None,NA,0,9,80,6,5,907202220,Y,0,NA,CompShg,Hip,120000,0,Pave,5,864.0,AllPub,0,1975,1975,2007,3,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
306,841,0,0,NA,2,1Fam,Fa,No,0.0,0.0,TA,721.0,0.0,0.0,Unf,Unf,Y,Feedr,Norm,SBrkr,24,Fa,Fa,Wd Sdng,AsbShng,NA,NA,0,CBlock,1,294.0,1.0,TA,Unf,TA,CarPort,1950.0,841,0,GasA,Gd,553,1,TA,Lvl,Gtl,8400,Inside,60.0,Reg,0,20,RH,0.0,None,NA,0,9,0,4,4,531477020,N,0,NA,CompShg,Gable,82000,0,Pave,4,721.0,AllPub,250,1950,1950,2009,2,3,3,3,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
307,900,412,0,NA,3,1Fam,TA,No,0.0,0.0,TA,784.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,FuseA,0,TA,TA,VinylSd,VinylSd,NA,NA,0,CBlock,1,649.0,2.0,TA,Unf,TA,Detchd,1953.0,1312,1,GasA,Ex,2594,1,TA,Lvl,Gtl,7500,Inside,50.0,Reg,0,50,RL,0.0,None,NA,0,10,28,6,6,535354130,Y,0,NA,CompShg,Gable,127000,0,Pave,6,784.0,AllPub,0,1947,1950,2006,3,3,3,3,3,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
308,1134,924,0,Grvl,3,1Fam,TA,No,0.0,0.0,Gd,416.0,319.0,0.0,Rec,Unf,N,Norm,Norm,SBrkr,259,TA,TA,AsbShng,AsbShng,NA,Gd,1,BrkTil,1,396.0,2.0,Fa,Unf,Fa,Detchd,1950.0,2058,1,OthW,Fa,1314,1,TA,Lvl,Gtl,9600,Inside,60.0,Reg,0,75,RM,0.0,None,NA,0,4,0,5,6,902305080,P,0,NA,CompShg,Gable,129500,0,Pave,8,735.0,AllPub,0,1917,1950,2008,3,4,2,2,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
309,1360,0,0,NA,1,TwnhsE,TA,Av,1.0,0.0,Gd,184.0,1036.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,NA,Ex,1,CBlock,1,565.0,2.0,TA,RFn,TA,Attchd,1984.0,1360,0,GasA,Gd,366,1,Gd,Lvl,Gtl,5814,CulDSac,68.87899941826643,IR1,0,120,RL,0.0,None,NA,0,8,0,5,8,527182110,Y,0,NA,CompShg,Gable,187500,0,Pave,4,1220.0,AllPub,63,1984,1984,2009,3,4,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
310,1786,0,0,NA,3,1Fam,TA,Gd,1.0,0.0,Ex,240.0,1538.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,715.0,3.0,TA,RFn,TA,Attchd,2002.0,1786,0,GasA,Ex,1462,1,Gd,Lvl,Gtl,14860,CulDSac,68.87899941826643,IR2,0,20,RL,240.0,BrkFace,NA,0,6,35,5,8,907255060,Y,0,NA,CompShg,Hip,300000,0,Pave,6,1778.0,AllPub,182,2002,2003,2008,3,5,3,3,3,4,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
311,1097,896,0,NA,4,1Fam,TA,No,0.0,0.0,TA,409.0,416.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,GdWo,Gd,1,CBlock,2,495.0,2.0,TA,RFn,TA,Attchd,1971.0,1993,1,GasA,Gd,2541,1,TA,Lvl,Gtl,14803,CulDSac,68.87899941826643,IR1,0,60,RL,252.0,BrkFace,NA,0,6,66,5,6,534250300,Y,0,NA,CompShg,Gable,190000,0,Pave,8,825.0,AllPub,0,1971,1971,2006,3,3,3,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
312,986,376,0,NA,4,1Fam,Fa,No,0.0,0.0,TA,951.0,0.0,0.0,Unf,Unf,N,Norm,Norm,SBrkr,0,Fa,Fa,MetalSd,MetalSd,MnPrv,NA,0,BrkTil,2,280.0,1.0,TA,Unf,Fa,Detchd,1920.0,1362,0,GasW,Fa,2088,1,TA,Lvl,Gtl,7550,Inside,50.0,Reg,0,50,RL,0.0,None,NA,0,3,0,5,4,905480090,P,0,NA,CompShg,Gambrel,96000,0,Pave,7,951.0,AllPub,0,1920,1950,2007,2,3,3,2,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
313,1112,438,0,NA,2,1Fam,TA,No,1.0,0.0,Gd,280.0,812.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,NA,NA,0,PConc,2,438.0,2.0,TA,Fin,TA,Attchd,2007.0,1550,0,GasA,Ex,527,1,Gd,Lvl,Gtl,8125,Inside,65.0,Reg,0,60,FV,100.0,Stone,NA,0,10,168,5,7,528480130,Y,0,NA,CompShg,Gable,241000,0,Pave,7,1092.0,AllPub,0,2006,2007,2009,3,4,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
314,1696,0,0,NA,3,1Fam,TA,No,0.0,0.0,TA,1140.0,0.0,0.0,Unf,Unf,Y,RRAe,Norm,SBrkr,0,Gd,TA,HdBoard,HdBoard,NA,TA,1,CBlock,1,349.0,1.0,TA,RFn,TA,Attchd,1962.0,1696,1,GasA,TA,1824,1,TA,Lvl,Gtl,13673,CulDSac,40.0,IR1,0,20,RL,0.0,None,NA,0,3,30,5,5,532376090,Y,0,NA,CompShg,Gable,143900,0,Pave,8,1140.0,AllPub,0,1962,1962,2007,3,3,3,3,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
315,546,546,0,NA,3,Twnhs,TA,No,0.0,0.0,TA,138.0,408.0,0.0,Rec,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,CemntBd,CmentBd,NA,NA,0,CBlock,1,286.0,1.0,TA,Unf,TA,CarPort,1970.0,1092,1,GasA,TA,2918,1,TA,Lvl,Gtl,1533,Inside,21.0,Reg,0,160,RM,0.0,None,NA,0,12,0,5,4,923228180,Y,0,NA,CompShg,Gable,87550,0,Pave,5,546.0,AllPub,0,1970,1970,2006,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
316,1752,0,0,NA,2,TwnhsE,TA,No,1.0,0.0,Ex,1296.0,456.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Ex,MetalSd,MetalSd,NA,Gd,1,PConc,2,576.0,2.0,TA,RFn,TA,Attchd,2005.0,1752,0,GasA,Ex,49,1,Ex,Lvl,Gtl,7658,Inside,61.0,Reg,0,120,RL,412.0,BrkFace,NA,0,2,82,5,9,528180070,Y,0,NA,CompShg,Hip,319900,0,Pave,6,1752.0,AllPub,196,2005,2005,2010,3,5,3,3,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
317,1102,1371,0,NA,4,1Fam,Gd,Gd,0.0,0.0,Ex,889.0,205.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,675.0,3.0,TA,Fin,TA,BuiltIn,2006.0,2473,1,GasA,Ex,2332,1,Gd,HLS,Gtl,12292,CulDSac,63.0,IR1,0,60,RL,184.0,BrkFace,NA,0,7,39,5,9,527210050,Y,0,NA,CompShg,Hip,356383,0,Pave,11,1094.0,AllPub,246,2006,2006,2006,4,5,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
318,1800,0,0,NA,2,1Fam,TA,No,0.0,0.0,Ex,1800.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,NA,0,PConc,2,702.0,2.0,TA,Fin,TA,Attchd,2007.0,1800,0,GasA,Ex,826,1,Ex,Lvl,Gtl,11923,Corner,122.0,IR1,0,20,RL,0.0,None,NA,0,5,136,5,9,906380100,Y,0,NA,CompShg,Gable,239000,0,Pave,7,1800.0,AllPub,288,2007,2007,2009,3,5,3,3,3,4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
319,1108,1089,0,NA,4,1Fam,TA,Av,1.0,0.0,Gd,0.0,228.0,852.0,BLQ,GLQ,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,NA,Gd,1,PConc,2,783.0,3.0,TA,Fin,TA,Attchd,1993.0,2197,1,GasA,Ex,1108,1,Gd,Lvl,Gtl,10010,Inside,91.0,Reg,0,60,RL,320.0,BrkFace,NA,0,7,99,5,7,528365080,Y,0,NA,WdShake,Hip,287500,0,Pave,9,1080.0,AllPub,385,1993,1994,2008,3,4,3,3,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
320,854,0,0,NA,2,1Fam,TA,No,0.0,0.0,TA,360.0,360.0,0.0,Rec,Unf,Y,Feedr,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,NA,NA,0,CBlock,1,660.0,2.0,TA,Unf,TA,Detchd,1991.0,1382,1,GasA,TA,2041,1,TA,Lvl,Gtl,12358,Inside,68.87899941826643,IR1,528,50,RM,0.0,None,NA,0,5,0,6,5,903475040,Y,0,NA,CompShg,Gable,128500,0,Pave,7,720.0,AllPub,237,1941,1950,2007,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
